Rotacja;Wiek;LataNaObecnymStanowisku;PodróżeSłużbowe;ZadowolenieZPracy;ZaangażowanieWPracę;ZadowolenieZeŚrodowiska;MiesięcznyDochód;StanCywilny;Nadgodziny;GrupaWiekowa;GrupaDochodowa;GrupaLataNaObecnymStanowisku
Tak;41;4;Rzadkie podróże;4;3;Średnio zadowolony;5993;Wolny/Wolna;Tak;36-45;4001-6000;0-4
Nie;49;7;Częste podróże;2;2;Średnio zadowolony;5130;Żonaty/Zamężna;Nie;46-55;4001-6000;5-8
Tak;37;0;Rzadkie podróże;3;2;Zadowolony;2090;Wolny/Wolna;Tak;36-45;2001-4000;0-4
Nie;33;7;Częste podróże;3;3;Zadowolony;2909;Żonaty/Zamężna;Tak;26-35;2001-4000;5-8
Nie;27;2;Rzadkie podróże;2;3;Niezadowolony;3468;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;32;7;Częste podróże;4;3;Zadowolony;3068;Wolny/Wolna;Nie;26-35;2001-4000;5-8
Nie;59;0;Rzadkie podróże;1;4;Średnio zadowolony;2670;Żonaty/Zamężna;Tak;56-65;2001-4000;0-4
Nie;30;0;Rzadkie podróże;3;3;Zadowolony;2693;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;38;7;Częste podróże;3;2;Zadowolony;9526;Wolny/Wolna;Nie;36-45;8001-10000;5-8
Nie;36;7;Rzadkie podróże;3;3;Średnio zadowolony;5237;Żonaty/Zamężna;Nie;36-45;4001-6000;5-8
Nie;35;4;Rzadkie podróże;2;4;Niezadowolony;2426;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;29;5;Rzadkie podróże;3;2;Zadowolony;4193;Wolny/Wolna;Tak;26-35;4001-6000;5-8
Nie;31;2;Rzadkie podróże;3;3;Niezadowolony;2911;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;34;2;Rzadkie podróże;4;3;Średnio zadowolony;2661;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Tak;28;2;Rzadkie podróże;3;2;Średnio zadowolony;2028;Wolny/Wolna;Tak;26-35;2001-4000;0-4
Nie;29;9;Rzadkie podróże;1;4;Średnio zadowolony;9980;Rozwiedziony/Rozwiedziona;Nie;26-35;8001-10000;9-12
Nie;32;2;Rzadkie podróże;2;4;Niezadowolony;3298;Rozwiedziony/Rozwiedziona;Tak;26-35;2001-4000;0-4
Nie;22;0;Brak podróży;4;4;Zadowolony;2935;Rozwiedziony/Rozwiedziona;Tak;19-25;2001-4000;0-4
Nie;53;8;Rzadkie podróże;4;2;Niezadowolony;15427;Żonaty/Zamężna;Nie;46-55;10000+;5-8
Nie;38;2;Rzadkie podróże;4;3;Zadowolony;3944;Wolny/Wolna;Tak;36-45;2001-4000;0-4
Nie;24;2;Brak podróży;3;4;Niezadowolony;4011;Rozwiedziony/Rozwiedziona;Nie;19-25;4001-6000;0-4
Tak;36;3;Rzadkie podróże;1;2;Średnio zadowolony;3407;Wolny/Wolna;Nie;36-45;2001-4000;0-4
Nie;34;6;Rzadkie podróże;2;3;Niezadowolony;11994;Wolny/Wolna;Nie;26-35;10000+;5-8
Nie;21;0;Rzadkie podróże;4;3;Średnio zadowolony;1232;Wolny/Wolna;Nie;19-25;0-2000;0-4
Tak;34;2;Rzadkie podróże;1;3;Średnio zadowolony;2960;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;53;13;Rzadkie podróże;3;3;Średnio zadowolony;19094;Rozwiedziony/Rozwiedziona;Nie;46-55;10000+;13-16
Tak;32;2;Częste podróże;1;1;Średnio zadowolony;3919;Wolny/Wolna;Tak;26-35;2001-4000;0-4
Nie;42;7;Rzadkie podróże;2;3;Średnio zadowolony;6825;Żonaty/Zamężna;Nie;36-45;6001-8000;5-8
Nie;44;6;Rzadkie podróże;4;2;Niezadowolony;10248;Żonaty/Zamężna;Nie;36-45;10000+;5-8
Nie;46;2;Rzadkie podróże;1;3;Średnio zadowolony;18947;Wolny/Wolna;Nie;46-55;10000+;0-4
Nie;33;1;Rzadkie podróże;4;3;Średnio zadowolony;2496;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;44;2;Rzadkie podróże;4;3;Zadowolony;6465;Żonaty/Zamężna;Tak;36-45;6001-8000;0-4
Nie;30;0;Rzadkie podróże;3;2;Zadowolony;2206;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Tak;39;0;Rzadkie podróże;4;3;Zadowolony;2086;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Tak;24;0;Rzadkie podróże;4;3;Średnio zadowolony;2293;Żonaty/Zamężna;Tak;19-25;2001-4000;0-4
Nie;43;3;Rzadkie podróże;3;4;Zadowolony;2645;Rozwiedziony/Rozwiedziona;Nie;36-45;2001-4000;0-4
Tak;50;2;Rzadkie podróże;3;2;Niezadowolony;2683;Żonaty/Zamężna;Tak;46-55;2001-4000;0-4
Nie;35;2;Rzadkie podróże;4;3;Zadowolony;2014;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;36;1;Rzadkie podróże;1;2;Średnio zadowolony;3419;Żonaty/Zamężna;Tak;36-45;2001-4000;0-4
Nie;33;3;Częste podróże;1;4;Średnio zadowolony;5376;Żonaty/Zamężna;Nie;26-35;4001-6000;0-4
Nie;35;0;Rzadkie podróże;4;3;Średnio zadowolony;1951;Rozwiedziony/Rozwiedziona;Nie;26-35;0-2000;0-4
Nie;27;0;Rzadkie podróże;1;3;Zadowolony;2341;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Tak;26;0;Rzadkie podróże;3;1;Niezadowolony;2293;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;27;8;Częste podróże;3;3;Zadowolony;8726;Wolny/Wolna;Nie;26-35;8001-10000;5-8
Nie;30;8;Częste podróże;4;3;Średnio zadowolony;4011;Wolny/Wolna;Nie;26-35;4001-6000;5-8
